"","Soil","Microsite","Temperature","Resp","COU","NAM","Lat_decimal","Long_decimal","ELE_1","MAT","RAI","SAC","CLC","SIC","pH","SOC","CFE","SIR","BACT_qPCR"
"82",14,1,10,2.434886291,"Australia","WR2",-33.931135,142.686154,91,17.1,312,78.15690993,2.635035932,19.20805414,7.292,1.373443162,842.1,4.878886,1765563243
"83",14,1,20,6.223569905,"Australia","WR2",-33.931135,142.686154,91,17.1,312,78.15690993,2.635035932,19.20805414,7.292,1.373443162,842.1,4.878886,1765563243
"84",14,1,30,12.35807033,"Australia","WR2",-33.931135,142.686154,91,17.1,312,78.15690993,2.635035932,19.20805414,7.292,1.373443162,842.1,4.878886,1765563243
"85",15,0,10,2.64983452,"Australia","WR3",-33.944026,142.667363,92,17.1,312,71.9472166,5.617629831,22.43515356,7.198,0.776176075,635.5,4.296706,NA
"86",15,0,20,5.8594602,"Australia","WR3",-33.944026,142.667363,92,17.1,312,71.9472166,5.617629831,22.43515356,7.198,0.776176075,635.5,4.296706,NA
"87",15,0,30,11.8313458,"Australia","WR3",-33.944026,142.667363,92,17.1,312,71.9472166,5.617629831,22.43515356,7.198,0.776176075,635.5,4.296706,NA
"88",15,1,10,3.447724432,"Australia","WR3",-33.944026,142.667363,92,17.1,312,73.33554891,7.388944278,19.27550681,7.22,1.834166984,774.1,6.228469,NA
"89",15,1,20,7.996135176,"Australia","WR3",-33.944026,142.667363,92,17.1,312,73.33554891,7.388944278,19.27550681,7.22,1.834166984,774.1,6.228469,NA
"90",15,1,30,16.56730123,"Australia","WR3",-33.944026,142.667363,92,17.1,312,73.33554891,7.388944278,19.27550681,7.22,1.834166984,774.1,6.228469,NA
"91",16,0,10,2.772255729,"Australia","Gibson_1",-31.317042,146.896053,203,18.6,476,44.52389412,6.177829099,49.29827678,6.62,1.378161177,581,4.724924,NA
"92",16,0,20,6.410783029,"Australia","Gibson_1",-31.317042,146.896053,203,18.6,476,44.52389412,6.177829099,49.29827678,6.62,1.378161177,581,4.724924,NA
"93",16,0,30,15.86130558,"Australia","Gibson_1",-31.317042,146.896053,203,18.6,476,44.52389412,6.177829099,49.29827678,6.62,1.378161177,581,4.724924,NA
"94",16,1,10,2.823765206,"Australia","Gibson_1",-31.317042,146.896053,203,18.6,476,52.4726389,4.210013543,43.31734756,6.806390387,2.643619979,365.2,5.58707,NA
"95",16,1,20,6.760475892,"Australia","Gibson_1",-31.317042,146.896053,203,18.6,476,52.4726389,4.210013543,43.31734756,6.806390387,2.643619979,365.2,5.58707,NA
"96",16,1,30,14.29353415,"Australia","Gibson_1",-31.317042,146.896053,203,18.6,476,52.4726389,4.210013543,43.31734756,6.806390387,2.643619979,365.2,5.58707,NA
"97",17,0,10,2.198950083,"Australia","Gibson_2",-31.300882,146.906031,193,18.6,477,47.45589817,5.753473262,46.79062857,6.59,1.226138882,250.4,3.955587,NA
"98",17,0,20,5.163483472,"Australia","Gibson_2",-31.300882,146.906031,193,18.6,477,47.45589817,5.753473262,46.79062857,6.59,1.226138882,250.4,3.955587,NA
"99",17,0,30,8.515268323,"Australia","Gibson_2",-31.300882,146.906031,193,18.6,477,47.45589817,5.753473262,46.79062857,6.59,1.226138882,250.4,3.955587,NA
"100",17,1,10,2.661093125,"Australia","Gibson_2",-31.300882,146.906031,193,18.6,477,53.64098361,4.803883083,41.55513331,6.645168831,2.290174835,578.2,3.817823,NA
